"Type_MRG_PA","gmw1996_ha","gmw2016_ha","gmw2020_ha","max_extent_ha","loss_since1996_ha","gain_f2016t2020_ha"
"Lagoon_20136_8391_NA",138.228852853628,132.300370319156,130.364593137492,141.012026488336,10.647433350844,0.423466232921183
"Lagoon_20137_8391_NA",190.188846527303,186.555795306896,185.768667506277,193.761897944162,7.99323043788493,1.02936951693222
"Lagoon_20138_8391_NA",728.396608924265,716.58684153488,691.452864170378,756.37944095419,64.9265767838125,6.60151550563224
"Lagoon_20139_8391_NA",140.660172993605,140.175557740752,138.297664584003,142.538556028663,4.24089144466009,0.181732663304359
"Lagoon_20140_8391_NA",102.142241364375,101.839330193077,101.657579098489,102.384940380736,0.72736128224625,0
"Lagoon_20141_8391_NA",280.596417134808,275.385630440379,274.840281533415,286.959464104496,12.1191825710813,1.817735668578
"Lagoon_20142_8391_NA",1461.45222898025,1459.14955852423,1445.69649770443,1489.02700135516,43.3305036507388,8.18083597059008
"Lagoon_20143_8391_NA",516.744338196916,513.229464620477,514.683887907541,522.744924494816,8.06103658727579,0.848419021448493
"Lagoon_20144_8391_NA",740.726458764719,735.999196286443,739.87800057318,744.909925658164,5.03192508498444,1.15152428526562
"Lagoon_20145_8391_NA",525.862680820286,520.953224013362,525.92330805738,529.500484465898,3.57717640851797,1.63651061652265
"Lagoon_20146_8391_NA",365.61800636873,345.676366479299,357.435264351233,383.379281878587,25.9440175273533,7.15237445389911
"Lagoon_20147_8473_NA",200.238856554526,185.455703852459,197.20957265522,217.20438941285,19.9948167576298,8.8457276586418
"Lagoon_20148_8473_NA",166.961416028738,165.386359466547,180.107597687897,187.862695495686,7.7550978077883,9.8142192423292
"Lagoon_20149_8473_NA",363.049510949704,296.131622521342,310.54465925798,395.692400744566,85.1477414865869,9.5077536846234
"Lagoon_20150_8473_NA",361.502069570551,363.865966127245,365.39336842933,373.04615359847,7.6527851691398,3.16218786899801
"Lagoon_20151_8400_NA",1889.2567797683,1881.6862660751,1881.92887468725,1897.62655271165,15.6976780243956,2.18029252511118
"Lagoon_20152_8400_NA",146.960966169481,151.80717041628,152.352370479207,153.200848009998,0.848477530790944,0.181732235380448
"Lagoon_20153_8400_NA",1184.6750939925,1135.44252594788,1156.75846441945,1205.5091637342,48.750699314757,9.02301102560994
"Lagoon_20154_8400_NA",585.122037533929,553.641048165185,541.411824159715,681.565833730116,140.1540095704,22.6421667006008
"Lagoon_20155_8400_NA",167.17298019891,91.1528073832617,92.1817585351658,171.108050769554,78.9262922343881,0.786845324340812
"Lagoon_20156_8400_NA",209.321528355801,193.748625658719,210.783745520441,262.468844516421,51.6850989959799,14.7389137111314
"Lagoon_20158_8398_NA",110.866472893197,110.44123225449,110.562729910418,110.866618710207,0.303888799788609,0
"Lagoon_20159_8398_NA",664.752976219824,647.377862439408,635.956580696152,670.403665581607,34.4470848854556,1.76182281435941
"Lagoon_20160_8398_NA",230.516216135836,229.66537531997,229.422278535501,231.914183657167,2.49190512166535,0.121548480083793
"Lagoon_20161_8476_NA",105.542679303499,96.4100425961238,96.4581542242335,106.39278737152,9.93463314728623,0.121374179667607
"Lagoon_20162_8478_NA",239.216666158858,207.681692804246,213.338779512656,247.944236215567,34.6054567029112,2.82856372584179
"Lagoon_20163_8478_NA",1966.33551898691,1755.21461796464,1555.67086051671,1998.59813987656,442.927279359846,5.13634694048353
"Lagoon_20164_8396_NA",200.441787741786,196.444329753208,196.392433169347,208.645290051956,12.2528568826091,0.674871035769582
"Lagoon_20165_8347_NA",971.513777171548,952.272104167269,911.393843890921,1002.92324901142,91.5294051204979,4.30354989641127
